"ID","CONVINCE","2016","2017","2018","2019","2020","2021","","","","","","","","","","","","","","",""
"84","Trà Vinh","1,007,560","1,008,087","1,008,784","1,009,322","1,009,940","1,018,635","","","","","","","","","","","","","","",""
"86","Vĩnh Long","1,022,856","1,022,617","1,022,682","1,022,619","1,022,971","1,029,015","","","","","","","","","","","","","","",""
"87","Đồng Tháp","1,619,011","1,612,489","1,606,069","1,598,754","1,600,014","1,601,306","","","","","","","","","","","","","","",""
"89","An Giang","1,976,372","1,954,177","1,931,000","1,907,401","1,904,532","1,909,506","","","","","","","","","","","","","","",""
"91","Kiên Giang","1,708,708","1,712,891","1,718,130","1,723,695","1,728,869","1,752,321","","","","","","","","","","","","","","",""
"92","Cần Thơ","1,214,590","1,222,417","1,227,744","1,235,954","1,240,731","1,246,993","","","","","","","","","","","","","","",""
"93","Hậu Giang","740,059","737,252","734,903","732,162","729,780","729,888","","","","","","","","","","","","","","",""
"94","Sóc Trăng","1,227,576","1,218,315","1,208,822","1,199,528","1,195,741","1,206,819","","","","","","","","","","","","","","",""
"95","Bạc Liêu","892,802","897,718","902,964","908,241","913,481","918,510","","","","","","","","","","","","","","",""
"96","Cà Mau","1,198,120","1,196,979","1,195,559","1,194,281","1,193,894","1,208,752","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
